"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 13 04:41:55 UTC 2023","Mon Nov 13 04:43:22 UTC 2023","87149","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Mon Nov 13 04:08:48 UTC 2023","Mon Nov 13 04:08:50 UTC 2023","1784","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Mon Nov 13 02:55:37 UTC 2023","Mon Nov 13 02:55:38 UTC 2023","793","","6. Company Account","","","","9. Review Final Review",""
"passed","Mon Nov 13 02:34:25 UTC 2023","Mon Nov 13 02:34:29 UTC 2023","4332","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Nov 13 02:54:18 UTC 2023","Mon Nov 13 02:54:25 UTC 2023","6215","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Mon Nov 13 03:08:26 UTC 2023","Mon Nov 13 03:08:27 UTC 2023","736","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Mon Nov 13 02:43:55 UTC 2023","Mon Nov 13 02:43:59 UTC 2023","4018","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Nov 13 04:41:52 UTC 2023","Mon Nov 13 04:41:55 UTC 2023","3393","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Mon Nov 13 04:08:50 UTC 2023","Mon Nov 13 04:08:51 UTC 2023","1040","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Mon Nov 13 03:10:27 UTC 2023","Mon Nov 13 03:10:42 UTC 2023","14602","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Mon Nov 13 05:13:31 UTC 2023","Mon Nov 13 05:13:42 UTC 2023","11856","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Mon Nov 13 04:12:01 UTC 2023","Mon Nov 13 04:12:21 UTC 2023","20403","","21. Forgot password function","","","","2. Reset password",""
"passed","Mon Nov 13 03:58:34 UTC 2023","Mon Nov 13 03:58:48 UTC 2023","14230","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Mon Nov 13 02:51:09 UTC 2023","Mon Nov 13 02:51:10 UTC 2023","508","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Mon Nov 13 02:45:32 UTC 2023","Mon Nov 13 02:45:35 UTC 2023","2335","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Mon Nov 13 02:54:25 UTC 2023","Mon Nov 13 02:54:47 UTC 2023","22714","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Mon Nov 13 04:38:45 UTC 2023","Mon Nov 13 04:38:45 UTC 2023","15","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Mon Nov 13 02:43:36 UTC 2023","Mon Nov 13 02:43:48 UTC 2023","12323","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
